,name,number_reviews,rating,address,city
312,La Cuina d'en Garriga,777,4.5,Carrer d Enric Granados 58 Barcelona,Barcelona
313,il mercante di venezia,885,4.5,josep anselmo clave 11  Barcelona,Barcelona
314,Vinitus Madrid-Barcelona,276,4.5,Carrer d Aragó 282 Barcelona,Barcelona
315,Cal Pep,2387,4.0,Placa de les Olles 8  Barcelona,Barcelona
316,El Corte Ingles,1116,4.0,Plaza de Cataluya 14 Barcelona,Barcelona
317,Can Majó,2033,4.0,Almirall Aixada nº23  Barcelona,Barcelona
318,La Pepita,3011,4.5,C  Corsega 343  Barcelona,Barcelona
319,Tapa Tapa,1738,3.0,Moll D Espanya Num  5 Barcelona,Barcelona
320,Restaurante Cadaques Barcelona,99,4.5,Reina Cristina 6 Barcelona,Barcelona
321,Tapa Tapa C.C. Arenas,1638,3.5,Gran Via de les Corts Catalanes 373 385 Barcelona,Barcelona
322,Restaurante La Boca Agua,2020,4.0,Passeig Marítim de la Barceloneta 30  Barcelona,Barcelona
323,La Terraza del Claris,384,4.5,Pau Claris 150  Barcelona,Barcelona
324,L' Olla de Si Chuan,412,4.0,Carrer  Aragó 224  Barcelona,Barcelona
325,Món Viêt,269,4.5,Sepulveda 94  Barcelona,Barcelona
326,Ikibana Paralelo,1794,4.0,Avinguda del Paral lel 148  Barcelona,Barcelona
