,0
1559,exciting
1560,never
1561,stop
1562,recommending
1563,local
1564,tourist
1565,heard
1566,immaculate
1567,review
1568,others
1569,definitely
1570,go
1571,oportunity
1572,seriously
1573,dont
1574,know
1575,start
1576,first
1577,time
1578,im
1579,really
1580,suspicious
1581,rating
1582,tripadvisor
1583,earth
1584,restaurant
1585,like
1586,rating
1587,mystery
1588,service
1589,really
1590,disgrace
1591,food
1592,ok
1593,nothing
1594,given
1595,menu
1596,printed
1597,paper
1598,printing
1599,black
1600,ink
1601,faded
1602,menu
1603,couldnt
1604,read
1605,menu
1606,couldnt
1607,see
1608,prize
1609,told
1610,waiter
1611,showed
1612,menu
1613,like
1614,hahaha
1615,dish
1616,menu
1617,description
1618,idea
1619,stuff
1620,sort
1621,detail
1622,chance
1623,ask
1624,waiter
1625,either
1626,constant
1627,hurry
1628,could
1629,minimal
1630,finally
1631,got
1632,food
1633,almost
1634,tossed
1635,table
1636,one
1637,time
1638,came
1639,behind
1640,scared
1641,spilled
1642,sangria
1643,clothes
1644,say
1645,worry
1646,dish
1647,said
1648,something
1649,like
1650,taco
1651,beef
1652,thought
1653,something
1654,taco
1655,since
1656,dish
1657,detail
1658,explanation
1659,got
1660,something
1661,didnt
1662,anything
1663,taco
1664,first
1665,thought
1666,gave
1667,u
1668,someday
1669,el
1670,dish
1671,explained
1672,dish
1673,said
1674,ok
1675,take
1676,even
1677,sorry
1678,suggestion
1679,something
1680,else
1681,took
1682,dish
1683,away
1684,without
1685,saying
1686,anything
1687,hahaha
1688,joke
1689,thing
1690,good
1691,dessert
1692,thats
1693,went
1694,away
1695,hungry
1696,laughing
1697,entire
1698,experience
1699,definitely
1700,first
1701,last
1702,time
1703,money
1704,go
1705,restaurant
1706,actually
1707,great
1708,plenty
1709,barcelona
1710,service
1711,wait
1712,remind
1713,time
1714,get
1715,water
1716,get
1717,wine
1718,get
1719,bread
1720,actually
1721,dont
1722,even
1723,serve
1724,flautos
1725,tomato
1726,sauce
1727,toilet
1728,supposed
1729,changing
1730,table
1731,kid
1732,use
1733,storage
1734,big
1735,restaurant
1736,couldnt
1737,change
1738,little
1739,girl
1740,diaper
1741,uncool
1742,especially
1743,didnt
1744,even
1745,try
1746,find
1747,u
1748,could
1749,get
1750,table
1751,without
1752,delicious
1753,tapa
1754,sirloin
1755,potato
1756,egg
1757,tapa
1758,took
