,0
1830,business
1831,meeting
1832,place
1833,otherwise
1834,would
1835,spare
1836,money
1837,third
1838,visit
1839,cerveceria
1840,catalana
1841,always
1842,pleasure
1843,great
1844,local
1845,food
1846,always
1847,fresh
1848,always
1849,tasty
1850,time
1851,tried
1852,something
1853,else
1854,time
1855,set
1856,bar
1857,great
1858,closer
1859,service
1860,experience
1861,next
1862,time
1863,going
1864,restaurant
1865,ever
1866,since
1867,arrived
1868,barcelona
1869,years
1870,ago
1871,recommended
1872,many
1873,colleagues
1874,friends
1875,however
1876,day
1877,terrible
1878,experience
1879,changed
1880,whole
1881,opinion
1882,place
1883,sat
1884,outside
1885,bag
1886,containing
1887,belongings
1888,stolen
1889,eating
1890,returned
1891,holiday
1892,belongings
1893,bag
1894,including
1895,house
1896,keys
1897,id
1898,credit
1899,cards
1900,cash
1901,etc
1902,thing
1903,phone
1904,first
1905,staff
1906,polite
1907,concerned
1908,stressed
1909,going
1910,pay
1911,meal
1912,front
1913,house
1914,lady
1915,told
1916,worry
1917,house
1918,block
1919,cards
1920,time
1921,phone
1922,different
1923,banks
1924,started
1925,raining
1926,moved
1927,inside
1928,told
1929,older
1930,gentleman
1931,would
1932,pay
1933,bill
1934,leaving
1935,despite
1936,woman
1937,told
1938,well
1939,fact
1940,nothing
1941,pay
1942,told
1943,man
1944,lady
1945,said
1946,house
1947,lied
1948,said
1949,never
1950,said
1951,authority
1952,complete
1953,lie
1954,nevertheless
1955,tried
1956,everything
1957,could
1958,pay
1959,another
1960,form
1961,attempts
1962,failed
1963,thing
1964,could
1965,offer
1966,leave
1967,details
1968,live
1969,nie
1970,number
1971,everything
1972,could
1973,come
1974,back
1975,next
1976,day
1977,pay
1978,still
1979,refused
1980,felt
1981,treated
1982,like
1983,thief
1984,man
1985,extremely
1986,rude
1987,told
1988,hablas
1989,en
1990,ingles
1991,te
1992,voy
1993,hablar
1994,en
1995,ingles
1996,que
1997,hablas
1998,en
1999,español
2000,went
2001,tell
2002,way
2003,could
2004,leave
2005,left
2006,phone
2007,thing
2008,left
2009,house
2010,keys
2011,money
2012,nothing
2013,young
2014,female
2015,completely
2016,shocked
2017,request
2018,told
2019,refuse
2020,eventually
2021,completely
2022,humiliated
2023,gentleman
2024,middle
2025,restaurant
2026,treated
2027,like
2028,thief
2029,robbed
2030,premises
2031,man
2032,agreed
2033,take
2034,details
2035,returned
2036,following
2037,morning
2038,bank
2039,paid
2040,back
2041,receive
2042,sort
2043,apology
2044,even
2045,thank
2046,never
2047,return
2048,restaurant
2049,disgusted
2050,way
2051,treated
2052,would
2053,like
2054,get
2055,robbed
2056,enjoying
2057,meal
2058,treated
2059,like
2060,thief
2061,told
2062,must
2063,leave
2064,pay
2065,go
2066,ahead
2067,eat
2068,definitely
2069,good
2070,cuality
2071,tapas
2072,everything
2073,fresh
2074,tasty
2075,however
2076,opinion
2077,bit
2078,overrated
2079,visited
2080,place
2081,first
2082,time
2083,years
2084,ago
2085,plates
2086,much
2087,smaller
2088,prices
2089,much
2090,higher
2091,bit
2092,dissapointed
2093,second
2094,visit
2095,came
2096,along
2097,sick
2098,dog
2099,barely
2100,walk
2101,less
2102,summer
2103,stopped
2104,walk
2105,minute
2106,seconds
2107,stop
2108,telling
2109,rudely
2110,move
2111,way
2112,bothering
2113,understand
2114,need
2115,walk
2116,fast
2117,without
2118,obstacles
2119,everything
2120,laying
2121,annoying
2122,nobody
2123,unless
2124,cure
2125,anything
2126,else
2127,apart
2128,waiting
2129,necessary
2130,rude
2131,sick
2132,dog
2133,move
2134,needs
2135,gon
2136,na
2137,eat
2138,ever
2139,extensive
2140,selection
2141,executed
2142,good
2143,drinks
2144,get
2145,crowded
2146,hey
2147,part
2148,experience
2149,tried
2150,getting
2151,dinner
2152,nights
2153,finally
2154,charm
2155,hostess
2156,friendly
2157,time
2158,tapas
2159,great
2160,sangria
2161,barcelona
2162,days
2163,ate
2164,amazing
2165,selection
2166,tapas
2167,excellent
2168,service
2169,wine
2170,selections
2171,top
2172,tapas
2173,restaurants
2174,waiter
2175,great
2176,giving
2177,tastes
2178,picked
2179,bottle
2180,great
2181,tapas
2182,gets
2183,busy
2184,day
2185,plan
2186,make
2187,sit
2188,bar
2189,good
2190,view
2191,dishes
2192,location
2193,friendly
2194,exactly
2195,expecting
2196,local
2197,tapas
2198,place
2199,ok
2200,wait
2201,get
2202,table
2203,give
2204,many
2205,tapas
2206,go
2207,crazy
2208,order
2209,handle
2210,recommendation
2211,bacalau
2212,boquerones
2213,en
2214,vinagre
2215,andaluze
2216,navajasprice
2217,couple
2218,totally
2219,spent
2220,tapas
2221,glasses
2222,wine
2223,bottle
2224,full
2225,satisfied
2226,well
2227,located
2228,one
2229,best
2230,elegant
2231,parts
